AQI,PM2.5,PM10,SO2,NO2,O3,CO
45,31,41,9,32,67,0.8
43,30,41,9,37,56,0.8
48,33,41,10,37,49,0.9
48,33,39,10,37,44,0.9
50,35,38,10,37,40,1.0
45,31,38,10,36,39,1.0
42,29,37,9,30,44,0.9
35,24,34,7,26,51,0.8
40,28,33,8,33,38,0.9
43,30,34,8,34,32,1.0
46,32,37,7,36,30,1.0
48,33,39,8,40,26,1.1
52,36,37,8,43,24,1.2
54,38,39,8,46,21,1.3
54,38,40,7,46,20,1.3
45,31,35,7,37,27,1.0
35,24,31,7,28,36,0.9
32,22,26,7,32,35,0.8
30,21,21,7,34,32,0.8
28,19,21,6,32,34,0.8
26,18,20,6,28,38,0.7
26,18,20,6,25,41,0.7
25,17,22,6,21,49,0.7
29,20,22,6,18,61,0.7
33,23,23,6,19,61,0.6
36,25,27,6,20,59,0.6
48,33,32,6,20,54,0.6
70,51,44,6,20,47,0.7
95,71,66,6,21,44,0.7
112,84,82,6,21,42,0.8
122,92,98,6,23,37,0.8
129,98,110,6,27,32,0.9
138,105,119,6,31,26,0.9
139,106,128,6,32,25,1.0
138,105,129,6,32,23,0.9
137,104,125,6,31,25,0.9
125,95,117,6,28,31,0.9
114,86,106,7,26,38,0.9
107,80,94,7,26,44,0.8
105,79,94,7,24,55,0.8
117,88,100,7,25,67,0.8
120,91,107,7,27,69,0.9
117,88,108,7,28,67,0.8
112,84,106,7,29,66,0.8
107,80,102,7,27,66,0.7
94,70,93,7,24,69,0.7
90,67,87,6,24,69,0.7
94,70,84,6,24,70,0.8
117,88,94,6,23,70,0.9
118,89,105,6,21,69,0.9
102,76,98,6,19,64,0.8
92,68,85,6,19,57,0.8
97,72,83,6,19,54,0.9
99,74,85,6,21,49,0.9
104,78,88,6,20,47,0.9
97,72,85,6,20,43,0.8
97,72,83,6,22,38,0.9
92,68,79,6,23,31,0.9
84,62,73,6,24,28,0.9
73,53,62,6,26,26,0.9
62,44,51,7,24,32,0.8
52,36,40,6,20,45,0.8
52,36,36,7,19,53,0.8
52,36,35,7,20,60,0.8
54,38,36,7,24,62,0.9
54,38,35,7,26,62,0.8
54,38,36,7,28,59,0.8
59,42,40,7,29,53,0.8
69,50,46,7,28,45,0.8
78,57,52,7,27,40,0.8
79,58,57,7,27,33,0.8
78,57,56,6,27,31,0.8
74,54,55,7,26,30,0.8
75,55,53,7,28,26,0.8
74,54,50,7,29,25,1.0
77,56,49,7,30,23,1.0
79,58,52,7,29,23,0.9
80,59,56,7,29,23,0.9
82,60,59,7,27,25,0.8
82,60,59,7,32,20,0.8
80,59,60,7,31,24,0.8
80,59,61,7,28,33,0.8
75,55,60,8,26,43,1.0
80,59,58,9,30,51,1.2
65,47,54,9,24,75,1.0
68,49,54,7,24,87,0.9
69,50,55,7,25,101,0.8
70,51,56,7,21,117,0.7
69,50,56,7,20,126,0.7
67,48,56,7,20,127,0.7
70,51,59,7,27,117,0.7
79,58,65,7,35,103,0.7
102,76,80,7,59,61,0.9
